"","country","port_name","long","lat"
"159","Cyprus","Akrotiri",33.0333333333333,34.5666666666667
"160","Cyprus","Famagusta",33.95,35.1166666666667
"161","Cyprus","Larnaca",32.4,35.05
"162","Cyprus","Limassol",33.0166666666667,34.65
"163","Cyprus","Paphos",32.4,34.75
"164","Cyprus","Vassiliko",33.3166666666667,34.7166666666667
"165","Denmark","Aarhus",10.2166666666667,56.1666666666667
"166","Denmark","Esbjerg",8.43333333333333,55.4666666666667
"167","Denmark","Fredericia",9.75,55.55
"168","Denmark","Frederikshavn",10.55,57.4666666666667
"169","Denmark","Grenaa",10.9333333333333,56.4166666666667
"170","Denmark","Odense",10.3833333333333,55.4166666666667
"171","Denmark","Ronne",14.6833333333333,55.0833333333333
"172","Djibouti","Djibouti",43.1333333333333,11.6
"173","Dominica","Portsmouth",-61.4666666666667,15.5666666666667
"174","Dominica","Roseau",-61.4,15.2833333333333
"175","Dominican","",-71.0666666666667,18.2
"176","Dominican","",-69.0166666666667,18.45
"177","Dominican","",-70.7,19.8166666666667
"178","Dominican","",-70,18.4166666666667
"179","Dominican","",-69.3,18.4333333333333
"180","Dominican","",18.4666666666667,18.4666666666667
"181","Ecuador","Esmeraldas",-79.6333333333333,1
"182","Ecuador","Guayaquil",-79.9,-2.26666666666667
"183","Ecuador","La Libertad",-80.9166666666667,-2.2
"184","Ecuador","Manta",-80.7166666666667,-0.916666666666667
"185","Ecuador","Puerto Bolivar",-80.0166666666667,-3.25
"186","Ecuador","San Lorenzo",-78.8333333333333,-1.16666666666667
"187","Egypt","Alexandria",29.8166666666667,31.1333333333333
"188","Egypt","Damietta",31.75,31.4666666666667
"189","Egypt","Port Said",32.3166666666667,31.2666666666667
"190","Egypt","Suez (Al Suweis)",32.55,29.9666666666667
"191","El Salvador","Acajutla",-89.8333333333333,13.5833333333333
"192","El Salvador","Cutuco",-89.8166666666667,13.4666666666667
"193","Equatorial Guinea","Bata",9.76666666666667,1.86666666666667
"194","Equatorial Guinea","Ceiba Marine",9.23333333333333,1.41666666666667
"195","Equatorial Guinea","Malabo (Rey Malabo)",8.78333333333333,3.76666666666667
"196","Estonia","Pärnu",24.4833333333333,58.3833333333333
"197","Estonia","Tallinn",24.7666666666667,59.45
"198","Faroe Islands","Klaksvik",-6.58333333333333,62.2333333333333
"199","Faroe Islands","Torshavn",-6.76666666666667,62
"200","Fiji","Labasa (Lambasa)",179.233333333333,-16.4333333333333
"201","Fiji","Lautoka",177.433333333333,-17.6
"202","Fiji","Levuka",178.85,-17.6833333333333
"203","Fiji","Savu Savu",179.3,-16.8166666666667
"204","Fiji","Suva",178.433333333333,-18.1333333333333
"205","Finland","Hamina",27.1833333333333,60.5666666666667
"206","Finland","Helsinki",24.95,60.1666666666667
"207","Finland","Kokkola",23.1333333333333,63.8333333333333
"208","Finland","Kotka",26.95,60.4666666666667
"209","Finland","Loviisa",26.2666666666667,60.4
"210","Finland","Oulu",25.4166666666667,65
"211","Finland","Pori",21.4833333333333,61.6
"212","Finland","Rauma",21.5,61.1333333333333
"213","Finland","Turku",22.25,60.45
